,house_no,Lat,Lng
0,House 1,31.46511,74.40899999999999
1,House 2,31.4935995,74.4455423
2,House 3,31.472405,74.4074533
3,House 4,31.4971038,74.3697248
4,House 5,31.520215000000004,74.2969
5,House 7,31.45305,74.4452
6,House 8,31.556383,74.28369
7,House 9,31.467461,74.41575300000001
8,House 11,31.5361257,74.2742592
9,House 12,31.468266999999997,74.409679
10,House 13,31.443558000000003,74.451515
11,House 14,31.463046999999996,74.432783
12,House 15,31.407903000000005,74.25582490000001
13,House 16,31.506359000000003,74.33754300000001
14,House 17,31.4465758,74.456715
15,House 18,31.546882,74.3591165
16,House 19,31.4535995,74.44954229999999
17,House 20,31.484923300000002,74.35417829999999
18,House 21,31.448234000000003,74.274265
19,House 22,31.435187,74.25139
20,House 24,31.507477,74.4043262
21,House 25,31.431953200000002,74.2529933
22,House 23,31.4796847,74.3776723
23,House 26,31.507964,74.319447
24,House 27,31.479253999999997,74.312729
25,House 28,31.498673999999998,74.3360814
26,House 29,31.455234,74.38875300000001
27,House 32,31.528333,74.36225300000001
28,House 30,31.516189,74.34965
29,House 31,31.453558,74.441515
30,House 33,31.4735524,74.4477983
31,House 34,31.479757,74.378518
32,House 35,31.499411,74.27709200000001
33,House 36,31.4226697,74.26903890000001
34,House 37,31.436694,74.27199999999999
35,House 39,31.489207,74.40051899999999
36,House 40,31.4635995,74.4455423
37,House 42,31.440517,74.28742700000001
